"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"33","000990","DB하이텍",58700,-1900,-3.14,2410,24.36,14483,4.05,350,0.6
"34","000995","DB하이텍1우",107000,-4500,-4.04,NA,NA,NA,NA,400,0.37
"35","139130","DGB금융지주",7160,30,0.42,1900,3.77,27296,0.26,410,5.73
"36","001530","DI동일",170500,-5500,-3.13,6765,25.2,195965,0.87,1500,0.88
"37","000210","DL",93400,-1700,-1.79,17223,5.42,153815,0.61,1300,1.39
"38","000215","DL우",44550,-1050,-2.3,NA,NA,NA,NA,1350,3.03
"39","375500","DL이앤씨",111000,-2500,-2.2,NA,NA,NA,NA,0,0
"40","37550K","DL이앤씨우",72700,-400,-0.55,NA,NA,NA,NA,0,0
"41","068790","DMS",9050,-140,-1.52,768,11.78,7205,1.26,75,0.83
"42","004840","DRB동일",7060,-10,-0.14,461,15.31,17771,0.4,100,1.42
"43","241520","DSC인베스트먼트",6670,-80,-1.19,348,19.17,2004,3.33,0,0
"44","155660","DSR",5890,120,2.08,546,10.79,9613,0.61,50,0.85
"45","069730","DSR제강",5180,-20,-0.38,469,11.04,9851,0.53,40,0.77
"46","017940","E1",41200,-200,-0.48,NA,NA,166288,0.25,2200,5.34
"47","245620","EDGC",8190,-110,-1.33,NA,NA,1090,7.51,0,0
"48","037370","EG",12650,800,6.75,NA,NA,4426,2.86,0,0
"49","079190","EMW",2780,0,0,120,23.17,971,2.86,0,0
"50","007700","F&F",134500,-4500,-3.24,7158,18.79,31366,4.29,1000,0.74
"51","130500","GH신소재",6910,-190,-2.68,204,33.87,3899,1.77,0,0
"52","114090","GKL",15700,350,2.28,1170,13.42,9460,1.66,659,4.2
"53","078930","GS",41000,2050,5.26,5745,7.14,93746,0.44,1900,4.63
"54","083450","GST",20750,300,1.47,2010,10.32,10657,1.95,200,0.96
"55","006360","GS건설",37700,-750,-1.95,5590,6.74,49623,0.76,1000,2.65
"56","001250","GS글로벌",2440,-50,-2.01,NA,NA,4351,0.56,0,0
"57","007070","GS리테일",35300,250,0.71,1729,20.42,28232,1.25,750,2.12
"58","078935","GS우",31700,450,1.44,NA,NA,NA,NA,1950,6.15
"59","028150","GS홈쇼핑",138500,500,0.36,18339,7.55,174659,0.79,6500,4.69
"60","045890","GV",324,34,11.72,NA,NA,811,0.4,0,0
"61","078150","HB테크놀러지",2920,-10,-0.34,41,71.22,2025,1.44,20,0.68
"62","012630","HDC",11200,50,0.45,4460,2.51,36131,0.31,200,1.79
"63","039570","HDC아이콘트롤스",10150,0,0,NA,NA,10245,0.99,350,3.45
"64","089470","HDC현대EP",6440,-80,-1.23,445,14.47,8886,0.72,120,1.86
"65","294870","HDC현대산업개발",27600,-600,-2.13,8731,3.16,47095,0.59,500,1.81
"66","011200","HMM",17300,900,5.49,NA,NA,3420,5.06,0,0
"67","036640","HRS",6550,-70,-1.06,60,109.17,4475,1.46,0,0
"68","082740","HSD엔진",7750,530,7.34,NA,NA,5722,1.35,0,0
"69","335870","IBKS제12호스팩",2190,-10,-0.45,NA,NA,NA,NA,0,0
"70","351340","IBKS제13호스팩",2110,10,0.48,NA,NA,NA,NA,0,0
"71","351320","IBKS제14호스팩",2110,0,0,NA,NA,NA,NA,0,0
"72","003560","IHQ",1850,-40,-2.12,NA,NA,933,1.98,0,0
"73","095340","ISC",22100,-100,-0.45,311,71.06,12011,1.84,50,0.23
"74","099520","ITX-AI",2250,-80,-3.43,NA,NA,598,3.76,0,0
"75","175330","JB금융지주",5800,-50,-0.85,1641,3.53,17615,0.33,300,5.17
"76","234080","JW생명과학",21800,-800,-3.54,1385,15.74,7744,2.82,500,2.29
"77","067290","JW신약",5010,-20,-0.4,33,151.82,1514,3.31,60,1.2
"78","001060","JW중외제약",30050,-100,-0.33,NA,NA,10059,2.99,325,1.08
